Scale,Default,AbbrS,ScaleName,ScaleOrder,TotalArea,FRACsea,Temp,C.OHrad,AEROSOLdeprate,FRACcldw,NumConcNuc,NumConcAcc,NumConcCP,ScaleIsGlobal,RAINrate,dischargeFRAC,TAUsea,FRACtwet,SettlVelocitywater,FRACinf,twet,tdry,COLLECTeff,WINDspeed,FRACrun
Arctic,1,A,Arctic,3,4.25E+13,0.6,263,500000,0.001,3e-7,3200000000,2900000000,300000,TRUE,250,NA,4752000,1,2.89e-5,0.25,0.210638298,3.3,200000,3,0.25
Continental,1,C,Continental,2,7.42882E+12,0.5,285,500000,0.001,3e-7,3200000000,2900000000,300000,FALSE,700,0,31536000,1,2.89e-5,0.25,0.210638298,3.3,200000,3,0.25
Moderate,1,M,Moderate,4,8.5E+13,0.5,285,500000,0.001,3e-7,3200000000,2900000000,300000,TRUE,700,NA,4752000,1,2.89e-5,0.25,0.210638298,3.3,200000,3,0.25
Regional,1,R,Regional,1,2.2957E+11,0.00435597,285,500000,0.001,3e-7,3200000000,2900000000,300000,FALSE,700,0,NA,1,2.89e-5,0.25,0.210638298,3.3,200000,3,0.25
Tropic,1,T,Tropic,5,1.275E+14,0.7,298,500000,0.001,3e-7,3200000000,2900000000,300000,TRUE,1300,NA,4752000,1,2.89e-5,0.25,0.210638298,3.3,200000,3,0.25
