"Substance","X.1","X","ChemClass","pKa","MW","Tm","Pvap25","Sol25","Kaw25","Kow","Ksw","Kp.col","Kp.susp","Kp.sed","Kp.soil","RadS","RhoS","hamakerSP.w","Shape","Longest_side","Intermediate_side","Shortest_side"
"ALIZARINE",357,358,"acid",6.86,240.22,NA,1.17e-07,400,NA,1445.439771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALKYLBENZENE (C10-C15)",358,359,"neutral",NA,246.44,NA,0.006813333,0.01,NA,446683592.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALLETHRIN",359,360,"neutral",NA,302.42,NA,43999999.99,4.6,NA,60255.95861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alpha-Cypermethrin",360,361,"neutral",NA,416.31,NA,0.173333333,0.01,NA,1148153.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alpha-Naphthylamine",361,362,"base",3.92,143.19,NA,0.557333333,1700,NA,177.827941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALPHA-PHENYLPROPIONIC ACID",362,363,"acid",4.41,150.18,NA,0.938666666,4987,NA,70.79457844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alpha,alpha,alpha-trichlorotoluene",363,364,"",NA,195,-6,16,10,NA,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMANTADINE",364,365,"base",10.41,151.25,NA,0.530666667,6292,NA,275.4228703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMITRAZ",365,366,"base",4.2,293.42,NA,0.000266667,1,NA,316227.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amitrole",366,367,"",NA,297,153,5.8e-05,330000,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMOXICILLIN",367,368,"neutral",NA,365.41,NA,6.25e-15,4000,NA,7.413102413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
