"Substance","X.1","X","ChemClass","pKa","MW","Tm","Pvap25","Sol25","Kaw25","Kow","Ksw","Kp.col","Kp.susp","Kp.sed","Kp.soil","RadS","RhoS","hamakerSP.w","Shape","Longest_side","Intermediate_side","Shortest_side"
"CARBENDAZIM",467,468,"base",4.2,191.19,NA,1e-07,29,NA,33.11311215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carbofuran",468,469,"neutral",NA,221.26,NA,0.000646667,320,NA,208.9296131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARBOFURAN PHENOL",469,470,"acid",10.17,164.21,NA,0.281333333,1096,NA,120.2264435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carbon tetrachloride",470,471,"",NA,154,-23,12000,800,NA,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carbon tetrachloride (CCl4)",471,472,"neutral",NA,153.82,NA,15333.33333,793,NA,676.0829754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARBONIC ACID, DIPHENYL ESTER",472,473,"neutral",NA,214.22,NA,0.02,58.37,NA,1905.460718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARBOPHENOTHION-METHYL",473,474,"neutral",NA,314.8,NA,0.00356,1.6,NA,66069.3448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartap",474,475,"base",7.21,237.34,NA,1.27e-06,2e+05,NA,0.112201845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"catechol",475,476,"acid",9.45,110.11,NA,0.488,461000,NA,7.58577575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cd(II)",476,477,"metal",NA,112.41,NA,1.45e-08,NA,1e-20,NA,1541.738526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cetrimonium Bromide",477,478,"neutral",NA,364.46,NA,5.36e-09,1e+05,NA,1513.561248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CGA 219417 (CYPRODINIL)",478,479,"base",4.44,225.3,NA,0.000490667,13,NA,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHENODEOXYCHOLIC ACID",479,480,"acid",4.74,392.58,NA,5.13e-10,89.9,NA,14125.37545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chitosan",480,1040,"particle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,874,2.02e-20,"Sphere",10000,5000,1000
"Chlorambucil",481,481,"acid",5.75,304.22,NA,0.000124133,4.611,NA,27542.28703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHLORDIMEFORM",482,482,"base",9.21,196.68,NA,0.123066667,270,NA,776.2471166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHLORFENSON",483,483,"neutral",NA,303.16,NA,0.000250667,2.961,NA,16218.10097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHLORIDAZON",484,484,"base",3.38,221.65,NA,6e-05,400,NA,13.80384265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHLORMEQUAT CHLORIDE",485,485,"neutral",NA,158.07,NA,1e-05,996000,NA,0.000158489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chlorobenzene",486,486,"",NA,113,-45,1200,470,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chlorobenzene",487,487,"neutral",NA,112.56,NA,1600,498,NA,691.8309709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chlorodifluoromethane",488,488,"",NA,87,-160,910000,3000,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chloroethane",489,489,"",NA,65,-139,130000,5800,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chloroethene (vinyl chloride)",490,490,"neutral",NA,62.5,NA,397333.3332,8800,NA,41.68693835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chloroethylene",491,491,"",NA,63,-154,330000,2700,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHLOROFLUOROMETHANE",492,492,"neutral",NA,68.48,NA,326666.6666,10400,NA,3.235936569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chloroform",493,493,"",NA,120,-64,21000,8000,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHLOROMERCURIPHENOL",494,494,"neutral",NA,329.15,NA,0.00624,1613,NA,32.35936569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloropicrin",495,495,"neutral",NA,164.38,NA,3173.333333,1620,NA,123.0268771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHORAL HYDRATE",496,496,"acid",10.14,165.4,NA,2000,793000,NA,9.77237221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CIMETIDINE",497,497,"base",6.8,252.34,NA,7.32e-07,9380,NA,2.511886432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ciprofibrate",498,498,"acid",3.72,289.16,NA,0.000830667,15.08,NA,8709.6359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cis-2,6-dimethylmorpholine",499,499,"base",8.27,115.18,NA,625.3333332,618500,NA,1.905460718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cis-Chlordane",500,500,"neutral",NA,409.78,NA,0.001330667,0.056,NA,1258925.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"citral",501,501,"",NA,152,-20,0.27,420,NA,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLETHODIM",502,502,"acid",4.47,359.91,NA,3.55e-07,1.36,NA,16218.10097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cloquintocet-mexyl",503,503,"base",3.75,335.83,NA,5.33e-06,0.59,NA,107151.9305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Closantel",504,504,"acid",6.51,663.08,NA,5.68e-15,1.52e-05,NA,128824955.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Co(II)",505,505,"metal",NA,58.9332,NA,2.98e-58,NA,1e-20,NA,1833.347402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cr(III)",506,506,"metal",NA,51.996,NA,NA,NA,1e-20,NA,44741805.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cr(VI)",507,507,"metal",NA,51.996,NA,NA,NA,1e-20,NA,7924.465962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cresol, pure",508,508,"",NA,108,23,1100,25000,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cresol(s)",509,509,"acid",10.22,108.14,NA,22.66666666,25900,NA,89.12509381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CROTONALDEHYDE",510,510,"neutral",NA,70.09,NA,3999.999999,181000,NA,3.981071706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cs(I)",511,511,"metal",NA,132.91,NA,0.000211268,NA,1e-20,NA,9.001981404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cu(II)",512,512,"metal",NA,63.546,NA,6.29e-45,NA,1e-20,NA,1317669.206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cumene",513,513,"",NA,120,-96,500,61,NA,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUMYLPHENYL DIPHENYL PHOSPHATE",514,514,"neutral",NA,444.47,NA,2.75e-06,0.063,NA,16595869.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CURCUMIN",515,515,"acid",7.97,368.39,NA,4.11e-10,7.475,NA,1949.8446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYANAZINE",516,516,"neutral",NA,240.7,NA,1.84e-05,170,NA,165.9586907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cyanuric acid",517,517,"",NA,129,325,0.00013,2000,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyclanilide",518,518,"acid",4.17,274.11,NA,1.21e-06,37,NA,63.09573445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYCLOHEPTANE",519,519,"neutral",NA,98.19,NA,2879.999999,30,NA,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYCLOHEPTATRIENE",520,520,"neutral",NA,92.14,NA,3133.333333,620,NA,426.5795188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYCLOHEPTENE",521,521,"neutral",NA,96.17,NA,3093.333333,66,NA,2818.382931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYCLOHEXANAMINE",522,522,"base",10.63,99.18,NA,1346.666666,1e+06,NA,30.90295433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyclohexanamine, 4,4'-methylenebis 2-methyl-",523,523,"base",9.98,238.42,NA,926.6666664,87.93,NA,12589.25412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyclohexanamine, N,N-diethyl-",524,524,"base",10.14,155.29,NA,68.13333332,1134,NA,1949.8446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cyclohexane",525,525,"",NA,84,7,10000,55,NA,2800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cyclohexane-1,2-dicarboxylic anhydride",526,526,"",NA,154,34,1,0.19,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyclohexane, 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethyl-",527,527,"neutral",NA,222.29,NA,0.150666667,2.928,NA,56234.13252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cyclohexanol",528,528,"",NA,100,24,130,40000,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cyclohexanone",529,529,"",NA,98,-29,450,95000,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYCLOHEXANONE OXIME",530,530,"acid",10.39,113.16,NA,3.733333332,18000,NA,6.918309709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYCLOHEXYL ACETATE",531,531,"neutral",NA,142.2,NA,1440,453.8,NA,436.5158322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cyclohexylamine",532,532,"",NA,99,-18,840,0.013,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cyclohexyldimethylamine",533,533,"",NA,127,-60,360,20000,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyclohexylmethylamine",534,534,"base",10.41,113.2,NA,334.6666666,16650,NA,131.8256739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYFLUTHRIN",535,535,"neutral",NA,434.3,NA,2e-08,0.003,NA,891250.9381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cymoxanil",536,536,"base",9.7,198.18,NA,0.000150667,890,NA,17378.00829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYPHENOTHRIN",537,537,"neutral",NA,375.47,NA,0.00012,0.01,NA,4168693.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyromazine",538,538,"base",5.22,166.19,NA,4.48e-07,13000,NA,9.120108394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAMINOZIDE",539,539,"acid",4.68,160.17,NA,0.026666667,1e+05,NA,0.031622777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"decan-1-ol",540,540,"",NA,158,6,0.29,37,NA,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"default substance",541,541,"neutral",NA,147,52.1,232,81.3,NA,2750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DELTAMETHRIN",542,542,"neutral",NA,505.21,NA,2e-06,0.002,NA,1584893.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMETON-S-METHYL",543,543,"neutral",NA,230.28,NA,0.04,3300,NA,10.47128548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESMETRYNE",544,544,"base",4,213.3,NA,0.000133067,580,NA,239.8832919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"di-''isodecyl'' phthalate",545,545,"",NA,447,-45,10,1.2,NA,2.3e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"di-''isononyl'' phthalate",546,546,"",NA,419,-44,2.8e-11,0.2,NA,1.2e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"di-(2-ethylhexyl)-phthalate (DEHP)",547,547,"neutral",NA,390.57,NA,1.89e-05,0.27,NA,39810717.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DI-n-BUTYL TIN DIACETATE",548,548,"neutral",NA,351.03,NA,0.401333333,6,NA,6.45654229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"di(benzothiazol-2-yl) disulphide",549,549,"",NA,392,165,2.6e-15,16,NA,19000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Di(n-octyl) phthalate",550,550,"neutral",NA,390.57,NA,1.33e-05,0.022,NA,125892541.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIALLYLPHTHALATE",551,551,"neutral",NA,246.26,NA,0.154666667,182,NA,1698.243652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIAZEPAM",552,552,"base",3.4,284.75,NA,1.36e-05,50,NA,660.693448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diazinon",553,553,"base",3.71,304.35,NA,0.012013333,40,NA,6456.54229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dibutyl maleate",554,554,"",NA,228,-53,0.0024,350,NA,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dibutyl phthalate",555,555,"",NA,278,-35,0.0097,10,NA,37000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DICHLOFENTHION",556,556,"neutral",NA,315.15,NA,0.074666667,0.245,NA,138038.4265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dichlorodifluoromethane",557,557,"",NA,121,-158,860,330,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dichloromethane",558,558,"",NA,85,-95,47000,20000,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DICHLOROPHENOL",559,559,"acid",7.89,163,NA,12,4500,NA,1148.153621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DICHLORPROP-ISOOCTYL",560,560,"neutral",NA,347.28,NA,0.000450667,0.01257,NA,4897788.194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DICLOFOP-METHYL",561,561,"neutral",NA,341.19,NA,0.000466667,0.8,NA,41686.93835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dicyclohexyl phthalate",562,562,"",NA,330,64,3.8e-06,0.2,NA,4e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diethanolamine",563,563,"base",8.96,105.14,NA,0.037333333,1e+06,NA,0.037153523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"diethyl malonate",564,564,"",NA,160,-50,35,18000,NA,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIETHYL SEBACATE",565,565,"neutral",NA,258.36,NA,0.067733333,80,NA,21379.6209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"diethyl sulphate",566,566,"",NA,154,-25,13,0.043,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIETHYLENE GLYCOL",567,567,"neutral",NA,106.12,NA,0.76,1e+06,NA,0.033884416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diethylstilbestrol",568,568,"acid",9.47,268.36,NA,1.15e-06,12,NA,117489.7555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIFENACOUM",569,569,"neutral",NA,444.53,NA,0.00016,0.031,NA,41686938.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIFORMYLHYDRAZINE",570,570,"neutral",NA,88.07,NA,9.99e-05,1e+06,NA,0.003311311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIFTALONE",571,571,"neutral",NA,264.29,NA,2.91e-07,301.5,NA,134.8962883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"diisobutyl phthalate",572,572,"",NA,278,-52,1.2,20,NA,13000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIISOBUTYLAMINE",573,573,"base",10.91,129.25,NA,969.3333331,2200,NA,426.5795188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIISOPROPANOLAMINE",574,574,"acid",9.1,133.19,NA,0.016666667,860000,NA,0.151356125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"diisopropyl ether",575,575,"",NA,102,-86,16000,11000,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIMETHRIN",576,576,"neutral",NA,286.42,NA,0.014933333,0.03571,NA,3715352.291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimethyl adipate",577,577,"",NA,174,9,17,30000,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimethyl glutarate",578,578,"",NA,160,-43,27,0.7,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimethyl maleate",579,579,"",NA,144,-18,28,0.11,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimethyl phthalate",580,580,"",NA,194,3,0.8,4300,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimethyl succinate",581,581,"",NA,146,19,3,130000,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimethyl sulphate",582,582,"",NA,126,NA,35,28000,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIMETHYLPHENOL PHOSPHATE (3:1)",583,583,"neutral",NA,410.45,NA,6.87e-06,0.89,NA,95499258.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIMETHYLTIN DICHLORIDE",584,584,"neutral",NA,219.69,NA,16.93333333,20000,NA,0.087096359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DINITROPHENOL",585,585,"acid",3.42,184.11,NA,0.00588,5.6,NA,23.44228815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dinoseb",586,586,"acid",4.62,240.22,NA,0.00992,52,NA,3630.780548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DINOSEB ACETATE",587,587,"neutral",NA,282.26,NA,0.08,2200,NA,1479.108388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIPHENYL DISULFIDE",588,588,"neutral",NA,218.33,NA,0.029333333,6.019,NA,25703.95783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"diphenyl ether",589,589,"",NA,170,27,0.0017,21,NA,17000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"diphenyl ether, octabromo derivative",590,590,"",NA,801,212,5.4e-11,1000,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"diphenylamine",591,591,"",NA,169,54,0.022,50,NA,3200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIPHENYLCHLOROARSINE",592,592,"neutral",NA,264.59,NA,0.024,2.721,NA,33113.11215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"diuron",593,593,"",NA,233,157,2.3e-07,35,NA,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DL-TRYPTOPHAN",594,594,"acid",7.38,204.23,NA,2.59e-07,13400,NA,0.089125094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dodecan-1-ol",595,595,"",NA,186,24,2.4,20,NA,180000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dodecanedioic acid",596,596,"",NA,230,128,0.00015,100,NA,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DODECYLBENZENE",597,597,"neutral",NA,246.44,NA,0.006813333,0.01,NA,446683592.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dodecyldimethylamine",598,598,"",NA,213,-18,0.0031,0.25,NA,3e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dodine",599,599,"base",9,287.45,NA,2e-05,630,NA,14.12537545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DODINE",600,600,"base",9,287.45,NA,2e-05,630,NA,14.12537545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edetic acid",601,601,"",NA,292,220,2.4e-08,500,NA,6.7e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EMODIN",602,602,"acid",7.09,270.24,NA,8.92e-10,2.042,NA,10232.92992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Endosulfan (beta)",603,603,"neutral",NA,406.92,NA,8e-05,0.45,NA,6760.829754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENDOTHAL",604,604,"acid",3.64,186.17,NA,2.09e-08,1e+05,NA,81.28305162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Endrocide (Endox) (Coumatetralyl)",605,605,"acid",4.75,292.34,NA,8.51e-09,4,NA,16982.43652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Enoxolone",606,606,"acid",4.59,470.7,NA,3.88e-13,0.01138,NA,7943282.347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Enrofloxacin",607,607,"acid",5.64,359.4,NA,4.08e-10,3397,NA,5.011872336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"epsilon-caprolactam",608,608,"",NA,113,69,0.14,5300000,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERYTHROMYCIN",609,609,"acid",8.88,733.95,NA,2.83e-23,0.5168,NA,1148.153621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Estazolam",610,610,"base",3.11,294.75,NA,1.32e-06,1.486,NA,2089.296131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESTRADIOL",611,611,"acid",10.54,272.39,NA,2.65e-07,3.6,NA,10232.92992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ethane-1,2-diol",612,612,"",NA,62,-13,7.9,18,NA,0.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ethanol, 2- ethyl(3-methylphenyl)amino -",613,613,"base",5.35,179.26,NA,0.01256,684.7,NA,173.7800829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ethanol, 2-(2-aminoethoxy)-",614,614,"base",9.62,105.14,NA,0.205333333,1e+06,NA,0.012882496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ethanol, 2-hydrazino-",615,615,"base",7.74,76.1,NA,3.079999999,1e+06,NA,0.010471285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ethanol, 2-mercapto-",616,616,"acid",9.72,78.13,NA,234.6666666,1e+06,NA,0.630957344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHANOLAMINE",617,617,"base",9.5,61.08,NA,53.86666665,1e+06,NA,0.048977882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHANONE, 1-[2-HYDROXY-3-PROPYL-4-[4-(1H-TETRAZO",618,618,"acid",10.63,318.38,NA,6.6e-09,19.9,NA,6606.93448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHINYL ESTRADIOL",619,619,"acid",10.51,296.41,NA,2.6e-07,11.3,NA,4677.351413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ethionamide",620,620,"base",4.65,166.24,NA,0.017866667,32580,NA,33.11311215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHYL 2-HYDROXYBENZOATE",621,621,"acid",10.14,166.18,NA,11.28,737.1,NA,891.2509381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ethyl acetoacetate",622,622,"",NA,130,-42,100,120000,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHYL DIMETHYLAMINE",623,623,"base",10.16,73.14,NA,65733.33332,345100,NA,5.011872336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHYL MERCAPTAN",624,624,"acid",10.61,62.13,NA,70533.33332,15600,NA,18.62087137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHYL METHACRYLATE",625,625,"neutral",NA,114.15,NA,2746.666666,5400,NA,87.096359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHYL VINYL ETHER",626,626,"neutral",NA,72.11,NA,68133.33332,10000,NA,10.96478196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHYLAMINE",627,627,"base",10.87,45.08,NA,140000,1e+06,NA,0.741310241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ethylbenzene",628,628,"",NA,106,-95,950,200,NA,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHYLENE GLYCOL DIACETATE",629,629,"neutral",NA,146.14,NA,10.32,178000,NA,2.511886432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ethylene glycol, monobutyl ether",630,630,"neutral",NA,118.18,NA,117.3333333,1e+06,NA,6.760829754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ethylene oxide",631,631,"neutral",NA,44.05,NA,174666.6666,1e+06,NA,0.501187234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ethyrimol",632,632,"base",5.04,209.29,NA,0.000266667,150,NA,165.9586907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Etodolac",633,633,"acid",4.46,287.36,NA,2.69e-06,16.01,NA,8511.380382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
