Process,Particulate,Molecular,Plastics
Adsorption,,X,
Advection,X,X,X
Burial,X,X,X
CWscavenging,X,,X
Degradation,X,X,X
Deposition,,X,
Desorption,,X,
DryDeposition,X,,X
Erosion,X,X,X
Escape,X,X,X
HeteroAgglomeration.a,X,,X
HeteroAgglomeration.wsd,X,,X
Leaching,X,X,X
Resuspension,X,X,X
Runoff,X,X,x
Sedimentation,X,X,x
Volatilisation,,X,
WetDeposition,X,,X
