VarName,SubCompart,Species,Substance,Waarde,SB4N_name,Unit
kdis,agriculturalsoil,Solid,nC60_10nm,0,NA,s-1
kdis,agriculturalsoil,Solid,nTiO2_10nm,1e-13,kdis.s2S.s2D,s-1
kdis,agriculturalsoil,Solid,nZnO,1e-6,NA,s-1
kdis,agriculturalsoil,Solid,TRWP,0,NA,s-1
kdis,deepocean,Large,microplastic,0,NA,s-1
kdis,deepocean,Large,nAg_10nm,1.18e-5,NA,s-1
kdis,deepocean,Large,nC60_10nm,0,NA,s-1
kdis,deepocean,Large,nTiO2_10nm,1e-13,kdis.w3P.w3D,s-1
kdis,deepocean,Large,nZnO,1.65e-6,NA,s-1
kdis,deepocean,Large,TRWP,0,NA,s-1
kdis,deepocean,Small,microplastic,0,NA,s-1
kdis,deepocean,Small,nAg_10nm,1.18e-5,NA,s-1
kdis,deepocean,Small,nC60_10nm,0,NA,s-1
kdis,deepocean,Small,nTiO2_10nm,1e-13,kdis.w3A.w3D,s-1
kdis,deepocean,Small,nZnO,1.65e-6,NA,s-1
kdis,deepocean,Small,TRWP,0,NA,s-1
kdis,deepocean,Solid,microplastic,0,NA,s-1
kdis,deepocean,Solid,nAg_10nm,1.18e-5,NA,s-1
kdis,deepocean,Solid,nC60_10nm,0,NA,s-1
kdis,deepocean,Solid,nTiO2_10nm,1e-13,kdis.w3S.w3D,s-1
kdis,deepocean,Solid,nZnO,1.65e-6,kdis.w3S.w3D,s-1
kdis,deepocean,Solid,TRWP,0,NA,s-1
kdis,freshwatersediment,Large,microplastic,0,NA,s-1
kdis,freshwatersediment,Large,nAg_10nm,1.32e-7,NA,s-1
kdis,freshwatersediment,Large,nC60_10nm,0,NA,s-1
kdis,freshwatersediment,Large,nTiO2_10nm,1e-13,kdis.sd1P.sd1D,s-1
kdis,freshwatersediment,Large,nZnO,1e-6,NA,s-1
kdis,freshwatersediment,Large,TRWP,0,NA,s-1
kdis,freshwatersediment,Small,microplastic,0,NA,s-1
kdis,freshwatersediment,Small,nAg_10nm,1.32e-7,NA,s-1
kdis,freshwatersediment,Small,nC60_10nm,0,NA,s-1
kdis,freshwatersediment,Small,nTiO2_10nm,1e-13,kdis.sd1A.sd1D,s-1
kdis,freshwatersediment,Small,nZnO,1e-6,NA,s-1
kdis,freshwatersediment,Small,TRWP,0,NA,s-1
kdis,freshwatersediment,Solid,microplastic,0,NA,s-1
kdis,freshwatersediment,Solid,nAg_10nm,1.32e-7,NA,s-1
kdis,freshwatersediment,Solid,nC60_10nm,0,NA,s-1
kdis,freshwatersediment,Solid,nTiO2_10nm,1e-13,kdis.sd1S.sd1D,s-1
kdis,freshwatersediment,Solid,nZnO,1e-6,NA,s-1
kdis,freshwatersediment,Solid,TRWP,0,NA,s-1
kdis,lake,Large,microplastic,0,NA,s-1
kdis,lake,Large,nAg_10nm,1.32e-7,NA,s-1
kdis,lake,Large,nC60_10nm,0,NA,s-1
kdis,lake,Large,nTiO2_10nm,1e-13,kdis.w0P.w0D,s-1
kdis,lake,Large,nZnO,1.65e-6,NA,s-1
kdis,lake,Large,TRWP,0,NA,s-1
kdis,lake,Small,microplastic,0,NA,s-1
kdis,lake,Small,nAg_10nm,1.32e-7,NA,s-1
kdis,lake,Small,nC60_10nm,0,NA,s-1
kdis,lake,Small,nTiO2_10nm,1e-13,kdis.w0A.w0D,s-1
kdis,lake,Small,nZnO,1.65e-6,NA,s-1
kdis,lake,Small,TRWP,0,NA,s-1
kdis,lake,Solid,microplastic,0,NA,s-1
kdis,lake,Solid,nAg_10nm,1.32e-7,NA,s-1
kdis,lake,Solid,nC60_10nm,0,NA,s-1
kdis,lake,Solid,nTiO2_10nm,1e-13,kdis.w0S.w0D,s-1
kdis,lake,Solid,nZnO,1.65e-6,NA,s-1
kdis,lake,Solid,TRWP,0,NA,s-1
kdis,lakesediment,Large,microplastic,0,NA,s-1
kdis,lakesediment,Large,nAg_10nm,1.32e-7,NA,s-1
kdis,lakesediment,Large,nC60_10nm,0,NA,s-1
kdis,lakesediment,Large,nTiO2_10nm,1e-13,kdis.sd0P.sd0D,s-1
kdis,lakesediment,Large,nZnO,1e-6,NA,s-1
kdis,lakesediment,Large,TRWP,0,NA,s-1
kdis,lakesediment,Small,microplastic,0,NA,s-1
kdis,lakesediment,Small,nAg_10nm,1.32e-7,NA,s-1
kdis,lakesediment,Small,nC60_10nm,0,NA,s-1
kdis,lakesediment,Small,nTiO2_10nm,1e-13,kdis.sd0A.sd0D,s-1
kdis,lakesediment,Small,nZnO,1e-6,NA,s-1
kdis,lakesediment,Small,TRWP,0,NA,s-1
kdis,lakesediment,Solid,microplastic,0,NA,s-1
kdis,lakesediment,Solid,nAg_10nm,1.32e-7,NA,s-1
kdis,lakesediment,Solid,nC60_10nm,0,NA,s-1
kdis,lakesediment,Solid,nTiO2_10nm,1e-13,kdis.sd0S.sd0D,s-1
kdis,lakesediment,Solid,nZnO,1e-6,NA,s-1
kdis,lakesediment,Solid,TRWP,0,NA,s-1
kdis,marinesediment,Large,microplastic,0,NA,s-1
kdis,marinesediment,Large,nAg_10nm,1.18e-5,NA,s-1
kdis,marinesediment,Large,nC60_10nm,0,NA,s-1
kdis,marinesediment,Large,nTiO2_10nm,1e-13,kdis.sd2P.sd2D,s-1
kdis,marinesediment,Large,nZnO,1e-6,NA,s-1
kdis,marinesediment,Large,TRWP,0,NA,s-1
kdis,marinesediment,Small,microplastic,0,NA,s-1
kdis,marinesediment,Small,nAg_10nm,1.18e-5,NA,s-1
kdis,marinesediment,Small,nC60_10nm,0,NA,s-1
kdis,marinesediment,Small,nTiO2_10nm,1e-13,kdis.sd2A.sd2D,s-1
kdis,marinesediment,Small,nZnO,1e-6,NA,s-1
kdis,marinesediment,Small,TRWP,0,NA,s-1
kdis,marinesediment,Solid,microplastic,0,NA,s-1
kdis,marinesediment,Solid,nAg_10nm,1.18e-5,NA,s-1
kdis,marinesediment,Solid,nC60_10nm,0,NA,s-1
kdis,marinesediment,Solid,nTiO2_10nm,1e-13,kdis.sd2S.sd2D,s-1
kdis,marinesediment,Solid,nZnO,1e-6,NA,s-1
kdis,marinesediment,Solid,TRWP,0,NA,s-1
kdis,naturalsoil,Large,microplastic,0,NA,s-1
kdis,naturalsoil,Large,nAg_10nm,4.87e-6,NA,s-1
kdis,naturalsoil,Large,nC60_10nm,0,NA,s-1
kdis,naturalsoil,Large,nTiO2_10nm,1e-13,kdis.s1P.s1D,s-1
kdis,naturalsoil,Large,nZnO,1e-6,NA,s-1
kdis,naturalsoil,Large,TRWP,0,NA,s-1
kdis,naturalsoil,Small,microplastic,0,NA,s-1
kdis,naturalsoil,Small,nAg_10nm,4.87e-6,NA,s-1
kdis,naturalsoil,Small,nC60_10nm,0,NA,s-1
kdis,naturalsoil,Small,nTiO2_10nm,1e-13,kdis.s1A.s1D,s-1
kdis,naturalsoil,Small,nZnO,1e-6,NA,s-1
kdis,naturalsoil,Small,TRWP,0,NA,s-1
kdis,naturalsoil,Solid,microplastic,0,NA,s-1
kdis,naturalsoil,Solid,nAg_10nm,4.87e-6,NA,s-1
kdis,naturalsoil,Solid,nC60_10nm,0,NA,s-1
kdis,naturalsoil,Solid,nTiO2_10nm,1e-13,kdis.s1S.s1D,s-1
kdis,naturalsoil,Solid,nZnO,1e-6,NA,s-1
kdis,naturalsoil,Solid,TRWP,0,NA,s-1
kdis,othersoil,Large,microplastic,0,NA,s-1
kdis,othersoil,Large,nAg_10nm,4.87e-6,NA,s-1
kdis,othersoil,Large,nC60_10nm,0,NA,s-1
kdis,othersoil,Large,nTiO2_10nm,1e-13,kdis.s3P.s3D,s-1
kdis,othersoil,Large,nZnO,1e-6,NA,s-1
kdis,othersoil,Large,TRWP,0,NA,s-1
kdis,othersoil,Small,microplastic,0,NA,s-1
kdis,othersoil,Small,nAg_10nm,4.87e-6,NA,s-1
kdis,othersoil,Small,nC60_10nm,0,NA,s-1
kdis,othersoil,Small,nTiO2_10nm,1e-13,kdis.s3A.s3D,s-1
kdis,othersoil,Small,nZnO,1e-6,NA,s-1
kdis,othersoil,Small,TRWP,0,NA,s-1
kdis,othersoil,Solid,microplastic,0,NA,s-1
kdis,othersoil,Solid,nAg_10nm,4.87e-6,NA,s-1
kdis,othersoil,Solid,nC60_10nm,0,NA,s-1
kdis,othersoil,Solid,nTiO2_10nm,1e-13,kdis.s3S.s3D,s-1
kdis,othersoil,Solid,nZnO,1e-6,NA,s-1
kdis,othersoil,Solid,TRWP,0,NA,s-1
kdis,river,Large,microplastic,0,NA,s-1
kdis,river,Large,nAg_10nm,1.32e-7,NA,s-1
kdis,river,Large,nC60_10nm,0,NA,s-1
kdis,river,Large,nTiO2_10nm,1e-13,kdis.w1P.w1D,s-1
kdis,river,Large,nZnO,1.65e-6,NA,s-1
kdis,river,Large,TRWP,0,NA,s-1
kdis,river,Small,microplastic,0,NA,s-1
kdis,river,Small,nAg_10nm,1.32e-7,NA,s-1
kdis,river,Small,nC60_10nm,0,NA,s-1
kdis,river,Small,nTiO2_10nm,1e-13,kdis.w1A.w1D,s-1
kdis,river,Small,nZnO,1.65e-6,NA,s-1
kdis,river,Small,TRWP,0,NA,s-1
kdis,river,Solid,microplastic,0,NA,s-1
kdis,river,Solid,nAg_10nm,1.32e-7,NA,s-1
kdis,river,Solid,nC60_10nm,0,NA,s-1
kdis,river,Solid,nTiO2_10nm,1e-13,kdis.w1S.w1D,s-1
kdis,river,Solid,nZnO,1.65e-6,NA,s-1
kdis,river,Solid,TRWP,0,NA,s-1
kdis,sea,Large,microplastic,0,NA,s-1
kdis,sea,Large,nAg_10nm,1.18e-5,NA,s-1
kdis,sea,Large,nC60_10nm,0,NA,s-1
kdis,sea,Large,nTiO2_10nm,1e-13,kdis.w2P.w2D,s-1
kdis,sea,Large,nZnO,1.65e-6,NA,s-1
kdis,sea,Large,TRWP,0,NA,s-1
kdis,sea,Small,microplastic,0,NA,s-1
kdis,sea,Small,nAg_10nm,1.18e-5,NA,s-1
kdis,sea,Small,nC60_10nm,0,NA,s-1
kdis,sea,Small,nTiO2_10nm,1e-13,kdis.w2A.w2D,s-1
kdis,sea,Small,nZnO,1.65e-6,NA,s-1
kdis,sea,Small,TRWP,0,NA,s-1
kdis,sea,Solid,microplastic,0,NA,s-1
kdis,sea,Solid,nAg_10nm,1.18e-5,NA,s-1
kdis,sea,Solid,nC60_10nm,0,NA,s-1
kdis,sea,Solid,nTiO2_10nm,1e-13,kdis.w2S.w2D,s-1
kdis,sea,Solid,nZnO,1.65e-6,NA,s-1
kdis,sea,Solid,TRWP,0,NA,s-1
kfrag,agriculturalsoil,Large,Chitosan,0,NA,s-1
kfrag,agriculturalsoil,Large,GO-Chitosan,0,NA,s-1
kfrag,agriculturalsoil,Large,Graphene Oxide,0,NA,s-1
kfrag,agriculturalsoil,Large,microplastic,2.7e-8,NA,s-1
kfrag,agriculturalsoil,Large,nAg_10nm,0,NA,s-1
kfrag,agriculturalsoil,Large,nC60_10nm,0,NA,s-1
kfrag,agriculturalsoil,Large,nTiO2_10nm,0,NA,s-1
kfrag,agriculturalsoil,Large,nZnO,0,NA,s-1
kfrag,agriculturalsoil,Large,TRWP,0,NA,s-1
kfrag,agriculturalsoil,Small,Chitosan,0,NA,s-1
kfrag,agriculturalsoil,Small,GO-Chitosan,0,NA,s-1
kfrag,agriculturalsoil,Small,Graphene Oxide,0,NA,s-1
kfrag,agriculturalsoil,Small,microplastic,2.7e-8,NA,s-1
kfrag,agriculturalsoil,Small,nAg_10nm,0,NA,s-1
kfrag,agriculturalsoil,Small,nC60_10nm,0,NA,s-1
kfrag,agriculturalsoil,Small,nTiO2_10nm,0,NA,s-1
kfrag,agriculturalsoil,Small,nZnO,0,NA,s-1
kfrag,agriculturalsoil,Small,TRWP,0,NA,s-1
kfrag,agriculturalsoil,Solid,Chitosan,0,kfragS.s,s-1
kfrag,agriculturalsoil,Solid,GO-Chitosan,0,kfragS.s,s-1
kfrag,agriculturalsoil,Solid,Graphene Oxide,0,kfragS.s,s-1
kfrag,agriculturalsoil,Solid,microplastic,2.7e-8,kfragS.s,s-1
kfrag,agriculturalsoil,Solid,nAg_10nm,0,kfragS.s,s-1
kfrag,agriculturalsoil,Solid,nC60_10nm,0,kfragS.s,s-1
kfrag,agriculturalsoil,Solid,nTiO2_10nm,0,kfragS.s,s-1
kfrag,agriculturalsoil,Solid,nZnO,0,kfragS.s,s-1
kfrag,agriculturalsoil,Solid,TRWP,0,kfragS.s,s-1
kfrag,air,Large,Chitosan,0,NA,s-1
kfrag,air,Large,GO-Chitosan,0,NA,s-1
kfrag,air,Large,Graphene Oxide,0,NA,s-1
kfrag,air,Large,microplastic,0,NA,s-1
kfrag,air,Large,nAg_10nm,0,NA,s-1
kfrag,air,Large,nC60_10nm,0,NA,s-1
kfrag,air,Large,nTiO2_10nm,0,NA,s-1
kfrag,air,Large,nZnO,0,NA,s-1
kfrag,air,Large,TRWP,0,NA,s-1
kfrag,air,Small,Chitosan,0,NA,s-1
kfrag,air,Small,GO-Chitosan,0,NA,s-1
kfrag,air,Small,Graphene Oxide,0,NA,s-1
kfrag,air,Small,microplastic,0,NA,s-1
kfrag,air,Small,nAg_10nm,0,NA,s-1
kfrag,air,Small,nC60_10nm,0,NA,s-1
kfrag,air,Small,nTiO2_10nm,0,NA,s-1
kfrag,air,Small,nZnO,0,NA,s-1
kfrag,air,Small,TRWP,0,NA,s-1
kfrag,air,Solid,Chitosan,0,kfragS.a,s-1
kfrag,air,Solid,GO-Chitosan,0,kfragS.a,s-1
kfrag,air,Solid,Graphene Oxide,0,kfragS.a,s-1
kfrag,air,Solid,microplastic,0,kfragS.a,s-1
kfrag,air,Solid,nAg_10nm,0,kfragS.a,s-1
kfrag,air,Solid,nC60_10nm,0,kfragS.a,s-1
kfrag,air,Solid,nTiO2_10nm,0,kfragS.a,s-1
kfrag,air,Solid,nZnO,0,kfragS.a,s-1
kfrag,air,Solid,TRWP,0,kfragS.a,s-1
kfrag,deepocean,Large,Chitosan,0,NA,s-1
kfrag,deepocean,Large,GO-Chitosan,0,NA,s-1
kfrag,deepocean,Large,Graphene Oxide,0,NA,s-1
kfrag,deepocean,Large,microplastic,2.7e-8,NA,s-1
kfrag,deepocean,Large,nAg_10nm,0,NA,s-1
kfrag,deepocean,Large,nC60_10nm,0,NA,s-1
kfrag,deepocean,Large,nTiO2_10nm,0,NA,s-1
kfrag,deepocean,Large,nZnO,0,NA,s-1
kfrag,deepocean,Large,TRWP,0,NA,s-1
kfrag,deepocean,Small,Chitosan,0,NA,s-1
kfrag,deepocean,Small,GO-Chitosan,0,NA,s-1
kfrag,deepocean,Small,Graphene Oxide,0,NA,s-1
kfrag,deepocean,Small,microplastic,2.7e-8,NA,s-1
kfrag,deepocean,Small,nAg_10nm,0,NA,s-1
kfrag,deepocean,Small,nC60_10nm,0,NA,s-1
kfrag,deepocean,Small,nTiO2_10nm,0,NA,s-1
kfrag,deepocean,Small,nZnO,0,NA,s-1
kfrag,deepocean,Small,TRWP,0,NA,s-1
kfrag,deepocean,Solid,Chitosan,0,kfragS.w3,s-1
kfrag,deepocean,Solid,GO-Chitosan,0,kfragS.w3,s-1
kfrag,deepocean,Solid,Graphene Oxide,0,kfragS.w3,s-1
kfrag,deepocean,Solid,microplastic,2.7e-8,kfragS.w3,s-1
kfrag,deepocean,Solid,nAg_10nm,0,kfragS.w3,s-1
kfrag,deepocean,Solid,nC60_10nm,0,kfragS.w3,s-1
kfrag,deepocean,Solid,nTiO2_10nm,0,kfragS.w3,s-1
kfrag,deepocean,Solid,nZnO,0,kfragS.w3,s-1
kfrag,deepocean,Solid,TRWP,0,kfragS.w3,s-1
kfrag,freshwatersediment,Large,Chitosan,0,NA,s-1
kfrag,freshwatersediment,Large,GO-Chitosan,0,NA,s-1
kfrag,freshwatersediment,Large,Graphene Oxide,0,NA,s-1
kfrag,freshwatersediment,Large,microplastic,2.7e-8,NA,s-1
kfrag,freshwatersediment,Large,nAg_10nm,0,NA,s-1
kfrag,freshwatersediment,Large,nC60_10nm,0,NA,s-1
kfrag,freshwatersediment,Large,nTiO2_10nm,0,NA,s-1
kfrag,freshwatersediment,Large,nZnO,0,NA,s-1
kfrag,freshwatersediment,Large,TRWP,0,NA,s-1
kfrag,freshwatersediment,Small,Chitosan,0,NA,s-1
kfrag,freshwatersediment,Small,GO-Chitosan,0,NA,s-1
kfrag,freshwatersediment,Small,Graphene Oxide,0,NA,s-1
kfrag,freshwatersediment,Small,microplastic,2.7e-8,NA,s-1
kfrag,freshwatersediment,Small,nAg_10nm,0,NA,s-1
kfrag,freshwatersediment,Small,nC60_10nm,0,NA,s-1
kfrag,freshwatersediment,Small,nTiO2_10nm,0,NA,s-1
kfrag,freshwatersediment,Small,nZnO,0,NA,s-1
kfrag,freshwatersediment,Small,TRWP,0,NA,s-1
kfrag,freshwatersediment,Solid,Chitosan,0,kfragS.sd,s-1
kfrag,freshwatersediment,Solid,GO-Chitosan,0,kfragS.sd,s-1
kfrag,freshwatersediment,Solid,Graphene Oxide,0,kfragS.sd,s-1
kfrag,freshwatersediment,Solid,microplastic,2.7e-8,kfragS.sd,s-1
kfrag,freshwatersediment,Solid,nAg_10nm,0,kfragS.sd,s-1
kfrag,freshwatersediment,Solid,nC60_10nm,0,kfragS.sd,s-1
kfrag,freshwatersediment,Solid,nTiO2_10nm,0,kfragS.sd,s-1
kfrag,freshwatersediment,Solid,nZnO,0,kfragS.sd,s-1
kfrag,freshwatersediment,Solid,TRWP,0,kfragS.sd,s-1
kfrag,lake,Large,Chitosan,0,NA,s-1
kfrag,lake,Large,GO-Chitosan,0,NA,s-1
kfrag,lake,Large,Graphene Oxide,0,NA,s-1
kfrag,lake,Large,microplastic,2.7e-8,NA,s-1
kfrag,lake,Large,nAg_10nm,0,NA,s-1
kfrag,lake,Large,nC60_10nm,0,NA,s-1
kfrag,lake,Large,nTiO2_10nm,0,NA,s-1
kfrag,lake,Large,nZnO,0,NA,s-1
kfrag,lake,Large,TRWP,0,NA,s-1
kfrag,lake,Small,Chitosan,0,NA,s-1
kfrag,lake,Small,GO-Chitosan,0,NA,s-1
kfrag,lake,Small,Graphene Oxide,0,NA,s-1
kfrag,lake,Small,microplastic,2.7e-8,NA,s-1
kfrag,lake,Small,nAg_10nm,0,NA,s-1
kfrag,lake,Small,nC60_10nm,0,NA,s-1
kfrag,lake,Small,nTiO2_10nm,0,NA,s-1
kfrag,lake,Small,nZnO,0,NA,s-1
kfrag,lake,Small,TRWP,0,NA,s-1
kfrag,lake,Solid,Chitosan,0,kfragS.w0,s-1
kfrag,lake,Solid,GO-Chitosan,0,kfragS.w0,s-1
kfrag,lake,Solid,Graphene Oxide,0,kfragS.w0,s-1
kfrag,lake,Solid,microplastic,2.7e-8,kfragS.w0,s-1
kfrag,lake,Solid,nAg_10nm,0,kfragS.w0,s-1
kfrag,lake,Solid,nC60_10nm,0,kfragS.w0,s-1
kfrag,lake,Solid,nTiO2_10nm,0,kfragS.w0,s-1
kfrag,lake,Solid,nZnO,0,kfragS.w0,s-1
kfrag,lake,Solid,TRWP,0,kfragS.w0,s-1
kfrag,lakesediment,Large,Chitosan,0,NA,s-1
kfrag,lakesediment,Large,GO-Chitosan,0,NA,s-1
kfrag,lakesediment,Large,Graphene Oxide,0,NA,s-1
kfrag,lakesediment,Large,microplastic,2.7e-8,NA,s-1
kfrag,lakesediment,Large,nAg_10nm,0,NA,s-1
kfrag,lakesediment,Large,nC60_10nm,0,NA,s-1
kfrag,lakesediment,Large,nTiO2_10nm,0,NA,s-1
kfrag,lakesediment,Large,nZnO,0,NA,s-1
kfrag,lakesediment,Large,TRWP,0,NA,s-1
kfrag,lakesediment,Small,Chitosan,0,NA,s-1
kfrag,lakesediment,Small,GO-Chitosan,0,NA,s-1
kfrag,lakesediment,Small,Graphene Oxide,0,NA,s-1
kfrag,lakesediment,Small,microplastic,2.7e-8,NA,s-1
kfrag,lakesediment,Small,nAg_10nm,0,NA,s-1
kfrag,lakesediment,Small,nC60_10nm,0,NA,s-1
kfrag,lakesediment,Small,nTiO2_10nm,0,NA,s-1
kfrag,lakesediment,Small,nZnO,0,NA,s-1
kfrag,lakesediment,Small,TRWP,0,NA,s-1
kfrag,lakesediment,Solid,Chitosan,0,kfragS.sd,s-1
kfrag,lakesediment,Solid,GO-Chitosan,0,kfragS.sd,s-1
kfrag,lakesediment,Solid,Graphene Oxide,0,kfragS.sd,s-1
kfrag,lakesediment,Solid,microplastic,2.7e-8,kfragS.sd,s-1
kfrag,lakesediment,Solid,nAg_10nm,0,kfragS.sd,s-1
kfrag,lakesediment,Solid,nC60_10nm,0,kfragS.sd,s-1
kfrag,lakesediment,Solid,nTiO2_10nm,0,kfragS.sd,s-1
kfrag,lakesediment,Solid,nZnO,0,kfragS.sd,s-1
kfrag,lakesediment,Solid,TRWP,0,kfragS.sd,s-1
kfrag,marinesediment,Large,Chitosan,0,NA,s-1
kfrag,marinesediment,Large,GO-Chitosan,0,NA,s-1
kfrag,marinesediment,Large,Graphene Oxide,0,NA,s-1
kfrag,marinesediment,Large,microplastic,2.7e-8,NA,s-1
kfrag,marinesediment,Large,nAg_10nm,0,NA,s-1
kfrag,marinesediment,Large,nC60_10nm,0,NA,s-1
kfrag,marinesediment,Large,nTiO2_10nm,0,NA,s-1
kfrag,marinesediment,Large,nZnO,0,NA,s-1
kfrag,marinesediment,Large,TRWP,0,NA,s-1
kfrag,marinesediment,Small,Chitosan,0,NA,s-1
kfrag,marinesediment,Small,GO-Chitosan,0,NA,s-1
kfrag,marinesediment,Small,Graphene Oxide,0,NA,s-1
kfrag,marinesediment,Small,microplastic,2.7e-8,NA,s-1
kfrag,marinesediment,Small,nAg_10nm,0,NA,s-1
kfrag,marinesediment,Small,nC60_10nm,0,NA,s-1
kfrag,marinesediment,Small,nTiO2_10nm,0,NA,s-1
kfrag,marinesediment,Small,nZnO,0,NA,s-1
kfrag,marinesediment,Small,TRWP,0,NA,s-1
kfrag,marinesediment,Solid,Chitosan,0,kfragS.sd,s-1
kfrag,marinesediment,Solid,GO-Chitosan,0,kfragS.sd,s-1
kfrag,marinesediment,Solid,Graphene Oxide,0,kfragS.sd,s-1
kfrag,marinesediment,Solid,microplastic,2.7e-8,kfragS.sd,s-1
kfrag,marinesediment,Solid,nAg_10nm,0,kfragS.sd,s-1
kfrag,marinesediment,Solid,nC60_10nm,0,kfragS.sd,s-1
kfrag,marinesediment,Solid,nTiO2_10nm,0,kfragS.sd,s-1
kfrag,marinesediment,Solid,nZnO,0,kfragS.sd,s-1
kfrag,marinesediment,Solid,TRWP,0,kfragS.sd,s-1
kfrag,naturalsoil,Large,Chitosan,0,NA,s-1
kfrag,naturalsoil,Large,GO-Chitosan,0,NA,s-1
kfrag,naturalsoil,Large,Graphene Oxide,0,NA,s-1
kfrag,naturalsoil,Large,microplastic,2.7e-8,NA,s-1
kfrag,naturalsoil,Large,nAg_10nm,0,NA,s-1
kfrag,naturalsoil,Large,nC60_10nm,0,NA,s-1
kfrag,naturalsoil,Large,nTiO2_10nm,0,NA,s-1
kfrag,naturalsoil,Large,nZnO,0,NA,s-1
kfrag,naturalsoil,Large,TRWP,0,NA,s-1
kfrag,naturalsoil,Small,Chitosan,0,NA,s-1
kfrag,naturalsoil,Small,GO-Chitosan,0,NA,s-1
kfrag,naturalsoil,Small,Graphene Oxide,0,NA,s-1
kfrag,naturalsoil,Small,microplastic,2.7e-8,NA,s-1
kfrag,naturalsoil,Small,nAg_10nm,0,NA,s-1
kfrag,naturalsoil,Small,nC60_10nm,0,NA,s-1
kfrag,naturalsoil,Small,nTiO2_10nm,0,NA,s-1
kfrag,naturalsoil,Small,nZnO,0,NA,s-1
kfrag,naturalsoil,Small,TRWP,0,NA,s-1
kfrag,naturalsoil,Solid,Chitosan,0,kfragS.s,s-1
kfrag,naturalsoil,Solid,GO-Chitosan,0,kfragS.s,s-1
kfrag,naturalsoil,Solid,Graphene Oxide,0,kfragS.s,s-1
kfrag,naturalsoil,Solid,microplastic,2.7e-8,kfragS.s,s-1
kfrag,naturalsoil,Solid,nAg_10nm,0,kfragS.s,s-1
kfrag,naturalsoil,Solid,nC60_10nm,0,kfragS.s,s-1
kfrag,naturalsoil,Solid,nTiO2_10nm,0,kfragS.s,s-1
kfrag,naturalsoil,Solid,nZnO,0,kfragS.s,s-1
kfrag,naturalsoil,Solid,TRWP,0,kfragS.s,s-1
kfrag,othersoil,Large,Chitosan,0,NA,s-1
kfrag,othersoil,Large,GO-Chitosan,0,NA,s-1
kfrag,othersoil,Large,Graphene Oxide,0,NA,s-1
kfrag,othersoil,Large,microplastic,2.7e-8,NA,s-1
kfrag,othersoil,Large,nAg_10nm,0,NA,s-1
kfrag,othersoil,Large,nC60_10nm,0,NA,s-1
kfrag,othersoil,Large,nTiO2_10nm,0,NA,s-1
kfrag,othersoil,Large,nZnO,0,NA,s-1
kfrag,othersoil,Large,TRWP,0,NA,s-1
kfrag,othersoil,Small,Chitosan,0,NA,s-1
kfrag,othersoil,Small,GO-Chitosan,0,NA,s-1
kfrag,othersoil,Small,Graphene Oxide,0,NA,s-1
kfrag,othersoil,Small,microplastic,2.7e-8,NA,s-1
kfrag,othersoil,Small,nAg_10nm,0,NA,s-1
kfrag,othersoil,Small,nC60_10nm,0,NA,s-1
kfrag,othersoil,Small,nTiO2_10nm,0,NA,s-1
kfrag,othersoil,Small,nZnO,0,NA,s-1
kfrag,othersoil,Small,TRWP,0,NA,s-1
kfrag,othersoil,Solid,Chitosan,0,kfragS.s,s-1
kfrag,othersoil,Solid,GO-Chitosan,0,kfragS.s,s-1
kfrag,othersoil,Solid,Graphene Oxide,0,kfragS.s,s-1
kfrag,othersoil,Solid,microplastic,2.7e-8,kfragS.s,s-1
kfrag,othersoil,Solid,nAg_10nm,0,kfragS.s,s-1
kfrag,othersoil,Solid,nC60_10nm,0,kfragS.s,s-1
kfrag,othersoil,Solid,nTiO2_10nm,0,kfragS.s,s-1
kfrag,othersoil,Solid,nZnO,0,kfragS.s,s-1
kfrag,othersoil,Solid,TRWP,0,kfragS.s,s-1
kfrag,river,Large,Chitosan,0,NA,s-1
kfrag,river,Large,GO-Chitosan,0,NA,s-1
kfrag,river,Large,Graphene Oxide,0,NA,s-1
kfrag,river,Large,microplastic,2.7e-8,NA,s-1
kfrag,river,Large,nAg_10nm,0,NA,s-1
kfrag,river,Large,nC60_10nm,0,NA,s-1
kfrag,river,Large,nTiO2_10nm,0,NA,s-1
kfrag,river,Large,nZnO,0,NA,s-1
kfrag,river,Large,TRWP,0,NA,s-1
kfrag,river,Small,Chitosan,0,NA,s-1
kfrag,river,Small,GO-Chitosan,0,NA,s-1
kfrag,river,Small,Graphene Oxide,0,NA,s-1
kfrag,river,Small,microplastic,2.7e-8,NA,s-1
kfrag,river,Small,nAg_10nm,0,NA,s-1
kfrag,river,Small,nC60_10nm,0,NA,s-1
kfrag,river,Small,nTiO2_10nm,0,NA,s-1
kfrag,river,Small,nZnO,0,NA,s-1
kfrag,river,Small,TRWP,0,NA,s-1
kfrag,river,Solid,Chitosan,0,kfragS.w1,s-1
kfrag,river,Solid,GO-Chitosan,0,kfragS.w1,s-1
kfrag,river,Solid,Graphene Oxide,0,kfragS.w1,s-1
kfrag,river,Solid,microplastic,2.7e-8,kfragS.w1,s-1
kfrag,river,Solid,nAg_10nm,0,kfragS.w1,s-1
kfrag,river,Solid,nC60_10nm,0,kfragS.w1,s-1
kfrag,river,Solid,nTiO2_10nm,0,kfragS.w1,s-1
kfrag,river,Solid,nZnO,0,kfragS.w1,s-1
kfrag,river,Solid,TRWP,0,kfragS.w1,s-1
kfrag,sea,Large,Chitosan,0,NA,s-1
kfrag,sea,Large,GO-Chitosan,0,NA,s-1
