"process","from","to"
"k.HeteroAgglomeration.a","Solid","Large"
"k.HeteroAgglomeration.a","Solid","Small"
"k.HeteroAgglomeration.sd","Solid","Large"
"k.HeteroAgglomeration.sd","Solid","Small"
