"Species","AbbrP","Default","SpeciesName","SpeciesOrder","NaturalPart","k_Leaching","k_CWscavenging","k_Adsorption","k_Volatilisation","k_Runoff","k_Deposition"
"Dissolved","D",0,NA,99,"",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Gas","G",0,NA,99,"",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Large","P",1,"Attached",4,"Coarse Particle",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Small","A",1,"Aggregated",3,"Natural colloid",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"Solid","S",1,"Nanoparticle",2,"",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"Unbound","U",1,"Molecular",1,"",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
