regions;area_land_C;area_sea_C;areafrac_fw_C;areafrac_lw_C;areafrac_nat_soil_C;areafrac_agr_soil_C;fracsf_fw_C;fracsf_lw_C;temp_C;wind_speed_C;rain_rate_C;depth_fw_C;depth_lw_C;depth_sw_C;frac_runoff_fw_C;frac_runoff_lw_C;frac_infiltr_C;soil_ero_C;irrig_C;area_land_G;area_sea_G;areafrac_fw_G;areafrac_lw_G;areafrac_nat_soil_G;areafrac_agr_soil_G;fracsf_fw_G;fracsf_lw_G;temp_G;wind_speed_G;rain_rate_G;depth_fw_G;depth_lw_G;depth_sw_G;frac_runoff_fw_G;frac_runoff_lw_G;frac_infiltr_G;soil_ero_G;irrig_G;dens_fw_species_C;dens_fw_species_RoW;dens_marine_species_C;dens_marine_species_RoW;dens_ter_species_C;dens_ter_species_RoW
North_America;1.45E+13;1.84E+12;3.43E-03;8.32E-02;6.31E-01;2.82E-01;3.96E-02;9.60E-01;285.15;3.00E+00;2.24E-08;2.37E+00;2.95E+01;1.00E+02;1.45E-02;3.51E-01;2.69E-01;9.51E-13;1.97E+11;1.24E+14;3.62E+14;3.73E-03;2.36E-02;6.09E-01;3.64E-01;1.36E-01;8.64E-01;2.85E+02;3.00E+00;2.22E-08;3.35E+00;9.08E+01;3.68E+03;3.40E-02;2.16E-01;2.50E-01;9.51E-13;2.72E+12;7.50E-02;9.250E-01;2.332E-01;7.668E-01;3.24E-02;9.676E-01
Latin_America;2.09E+13;2.97E+12;6.45E-03;1.27E-02;6.54E-01;3.27E-01;3.37E-01;6.63E-01;285.15;3.00E+00;5.11E-08;4.39E+00;2.57E+01;1.00E+02;1.29E-01;2.53E-01;2.69E-01;9.51E-13;2.33E+11;1.18E+14;3.61E+14;2.76E-03;3.34E-02;6.03E-01;3.61E-01;7.64E-02;9.24E-01;2.85E+02;3.00E+00;2.22E-08;2.74E+00;6.65E+01;3.68E+03;1.91E-02;2.31E-01;2.50E-01;9.51E-13;2.72E+12;2.989E-01;7.011E-01;2.657E-01;7.343E-01;3.433E-01;6.567E-01
Europe;8.57E+12;1.70E+12;5.01E-03;2.55E-02;5.85E-01;3.85E-01;1.64E-01;8.36E-01;285.15;3.00E+00;1.75E-08;1.95E+00;2.69E+01;1.00E+02;2.83E-02;1.44E-01;2.69E-01;9.51E-13;1.15E+11;1.30E+14;3.62E+14;3.20E-03;3.06E-02;6.13E-01;3.54E-01;9.49E-02;9.05E-01;2.85E+02;3.00E+00;2.22E-08;3.24E+00;6.51E+01;3.68E+03;2.37E-02;2.26E-01;2.50E-01;9.51E-13;2.72E+12;1.022E-01;8.978E-01;4.02E-02;9.598E-01;8.31E-02;9.169E-01
Africa_Middle_East;3.43E+13;1.59E+12;1.31E-04;1.39E-02;5.88E-01;3.97E-01;9.32E-03;9.91E-01;285.15;3.00E+00;2.09E-08;2.48E+00;1.16E+02;1.00E+02;1.72E-03;1.82E-01;2.69E-01;9.51E-13;2.72E+11;1.04E+14;3.62E+14;4.20E-03;3.58E-02;6.18E-01;3.42E-01;1.05E-01;8.95E-01;2.85E+02;3.00E+00;2.22E-08;3.19E+00;5.88E+01;3.68E+03;2.62E-02;2.24E-01;2.50E-01;9.51E-13;2.72E+12;2.268E-01;7.732E-01;2.293E-01;7.707E-01;2.283E-01;7.717E-01
Central_Asia;1.69E+13;7.36E+11;2.25E-03;2.73E-02;5.21E-01;4.49E-01;7.59E-02;9.24E-01;285.15;3.00E+00;6.90E-09;2.22E+00;3.31E+01;1.00E+02;3.52E-02;4.29E-01;2.69E-01;9.51E-13;2.25E+11;1.22E+14;3.63E+14;3.34E-03;3.08E-02;6.23E-01;3.42E-01;9.78E-02;9.02E-01;2.85E+02;3.00E+00;2.22E-08;3.22E+00;6.59E+01;3.68E+03;2.44E-02;2.26E-01;2.50E-01;9.51E-13;2.72E+12;1.225E-01;8.775E-01;2.538E-01;7.462E-01;7.60E-02;9.240E-01
Southeast_Asia;1.69E+13;5.34E+12;1.23E-02;2.69E-02;4.97E-01;4.63E-01;3.15E-01;6.85E-01;285.15;3.00E+00;4.81E-08;3.31E+00;1.74E+01;1.00E+02;8.28E-02;1.80E-01;2.69E-01;9.51E-13;1.67E+12;1.22E+14;3.59E+14;2.67E-03;3.01E-02;6.27E-01;3.41E-01;8.14E-02;9.19E-01;2.85E+02;3.00E+00;2.22E-08;3.15E+00;6.66E+01;3.68E+03;2.03E-02;2.30E-01;2.50E-01;9.51E-13;2.72E+12;2.880E-01;7.120E-01;3.822E-01;6.178E-01;2.298E-01;7.702E-01
Northern_regions;1.83E+13;5.62E+12;4.69E-03;5.19E-02;8.21E-01;1.22E-01;8.29E-02;9.17E-01;285.15;3.00E+00;1.55E-08;2.93E+00;1.32E+02;1.00E+02;2.98E-02;3.29E-01;2.69E-01;9.51E-13;9.69E+08;1.20E+14;3.58E+14;3.06E-03;2.70E-02;5.79E-01;3.91E-01;1.02E-01;8.98E-01;2.85E+02;3.00E+00;2.22E-08;3.26E+00;3.91E+01;3.68E+03;2.54E-02;2.25E-01;2.50E-01;9.51E-13;2.72E+12;5.70E-02;9.430E-01;2.129E-01;7.871E-01;2.14E-02;9.786E-01
Oceania;8.12E+12;2.24E+12;9.00E-04;5.85E-03;5.35E-01;4.58E-01;1.33E-01;8.67E-01;285.15;3.00E+00;4.11E-08;1.01E+00;8.81E+00;1.00E+02;2.53E-02;1.65E-01;2.69E-01;9.51E-13;1.06E+10;1.30E+14;3.62E+14;3.38E-03;3.19E-02;6.16E-01;3.49E-01;9.59E-02;9.04E-01;2.85E+02;3.00E+00;2.22E-08;3.25E+00;6.53E+01;3.68E+03;2.40E-02;2.26E-01;2.50E-01;9.51E-13;2.72E+12;8.92E-02;9.108E-01;1.637E-01;8.363E-01;1.310E-01;8.690E-01
